NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,13.09,1-Y,55.01,OverallOffsetX,0.04,OverallOffsetY,0.04,
,,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station2,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,2,Head2,Drop,Station3,PickUp,Station2,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
R1,1K,0603D,31.23,17.52,-90.00,0,1,100,0.0,0.0,1,0
R2,1K,0603D,29.48,17.50,-90.00,0,1,100,0.0,0.0,1,0
R3,1K,0603D,26.03,17.50,-90.00,0,1,100,0.0,0.0,1,0
R4,1K,0603D,27.76,17.50,-90.00,0,1,100,0.0,0.0,1,0
R5,1K,0603D,27.76,20.72,-90.00,0,1,100,0.0,0.0,1,0
R6,1K,0603D,27.76,23.95,-90.00,0,1,100,0.0,0.0,1,0
R7,1K,0603D,27.76,27.17,-90.00,0,1,100,0.0,0.0,1,0
R8,1K,0603D,27.76,30.40,-90.00,0,1,100,0.0,0.0,1,0
R9,1K,0603D,26.03,30.40,-90.00,0,1,100,0.0,0.0,1,0
R10,1K,0603D,26.03,27.17,-90.00,0,1,100,0.0,0.0,1,0
R11,1K,0603D,26.03,23.95,-90.00,0,1,100,0.0,0.0,1,0
R12,1K,0603D,26.03,20.72,-90.00,0,1,100,0.0,0.0,1,0
R13,1K,0603D,29.48,20.72,-90.00,0,1,100,0.0,0.0,1,0
R14,1K,0603D,29.48,23.95,-90.00,0,1,100,0.0,0.0,1,0
R15,1K,0603D,29.48,27.17,-90.00,0,1,100,0.0,0.0,1,0
R16,1K,0603D,29.48,30.40,-90.00,0,1,100,0.0,0.0,1,0
R17,1K,0603D,31.21,30.40,-90.00,0,1,100,0.0,0.0,1,0
R18,1K,0603D,31.21,27.17,-90.00,0,1,100,0.0,0.0,1,0
R19,1K,0603D,31.21,23.95,-90.00,0,1,100,0.0,0.0,1,0
R20,1K,0603D,31.21,20.72,-90.00,0,1,100,0.0,0.0,1,0
R21,1K,0603D,31.21,33.62,-90.00,0,1,100,0.0,0.0,1,0
R22,1K,0603D,31.21,36.85,-90.00,0,1,100,0.0,0.0,1,0
R23,1K,0603D,31.21,40.08,-90.00,0,1,100,0.0,0.0,1,0
R24,1K,0603D,31.21,43.30,-90.00,0,1,100,0.0,0.0,1,0
R25,1K,0603D,29.48,43.30,-90.00,0,1,100,0.0,0.0,1,0
R26,1K,0603D,29.48,40.08,-90.00,0,1,100,0.0,0.0,1,0
R27,1K,0603D,29.48,36.85,-90.00,0,1,100,0.0,0.0,1,0
R28,1K,0603D,29.48,33.62,-90.00,0,1,100,0.0,0.0,1,0
R29,1K,0603D,31.21,46.53,-90.00,0,1,100,0.0,0.0,1,0
R30,1K,0603D,29.48,46.53,-90.00,0,1,100,0.0,0.0,1,0
R31,1K,0603D,26.03,33.62,-90.00,0,1,100,0.0,0.0,1,0
R32,1K,0603D,26.03,36.85,-90.00,0,1,100,0.0,0.0,1,0
R33,1K,0603D,26.03,40.08,-90.00,0,1,100,0.0,0.0,1,0
R34,1K,0603D,26.03,43.30,-90.00,0,1,100,0.0,0.0,1,0
R35,1K,0603D,26.03,46.53,-90.00,0,1,100,0.0,0.0,1,0
R36,1K,0603D,27.76,46.53,-90.00,0,1,100,0.0,0.0,1,0
R37,1K,0603D,27.76,43.30,-90.00,0,1,100,0.0,0.0,1,0
R38,1K,0603D,27.76,40.08,-90.00,0,1,100,0.0,0.0,1,0
R39,1K,0603D,27.76,36.85,-90.00,0,1,100,0.0,0.0,1,0
R40,1K,0603D,27.76,33.62,-90.00,0,1,100,0.0,0.0,1,0
R41,1K,0603D,15.59,48.99,180.00,0,1,100,0.0,0.0,1,0
R42,1K,0603D,18.82,48.99,180.00,0,1,100,0.0,0.0,1,0
R43,1K,0603D,22.04,48.99,180.00,0,1,100,0.0,0.0,1,0
R44,1K,0603D,25.27,48.99,180.00,0,1,100,0.0,0.0,1,0
R45,1K,0603D,28.49,48.99,180.00,0,1,100,0.0,0.0,1,0
R46,1K,0603D,31.72,48.99,180.00,0,1,100,0.0,0.0,1,0
R47,1K,0603D,31.72,50.72,180.00,0,1,100,0.0,0.0,1,0
R48,1K,0603D,28.49,50.72,180.00,0,1,100,0.0,0.0,1,0
R49,1K,0603D,25.27,50.72,180.00,0,1,100,0.0,0.0,1,0
R50,1K,0603D,22.04,50.72,180.00,0,1,100,0.0,0.0,1,0
R51,1K,0603D,18.82,50.72,180.00,0,1,100,0.0,0.0,1,0
R52,1K,0603D,15.59,50.72,180.00,0,1,100,0.0,0.0,1,0
